phone_id,test_id,tx_power,cal_confidence,rssi_offset,carriage_state
23,104,-18,3,3,Front Pants Pocket
22,105,-18,3,3,Front Pants Pocket
23,105,-18,3,3,Front Pants Pocket
22,106,-18,3,3,Front Pants Pocket
23,106,-18,3,3,Front Pants Pocket
22,107,-18,3,3,Bag
23,107,-18,3,3,Bag
22,108,-18,3,3,Bag
23,108,-18,3,3,Bag
22,109,-18,3,3,Bag
23,109,-18,3,3,Bag
22,110,-18,3,3,Bag
23,110,-18,3,3,Bag
22,111,-18,3,3,Bag
23,111,-18,3,3,Bag
22,112,-18,3,3,Bag
23,112,-18,3,3,Bag
22,113,-18,3,3,Bag
23,113,-18,3,3,Bag
22,114,-18,3,3,Bag
23,114,-18,3,3,Bag
22,115,-18,3,3,Bag
23,115,-18,3,3,Bag
22,116,-18,3,3,Bag
23,116,-18,3,3,Bag
22,117,-18,3,3,Bag
23,117,-18,3,3,Bag
22,118,-18,3,3,Bag
23,118,-18,3,3,Bag
22,119,-18,3,3,Bag
23,119,-18,3,3,Bag
22,120,-18,3,3,Bag
23,120,-18,3,3,Bag
22,121,-18,3,3,Bag
23,121,-18,3,3,Bag
22,122,-18,3,3,Bag
23,122,-18,3,3,Bag
22,123,-18,3,3,Bag
23,123,-18,3,3,Bag
22,124,-18,3,3,Bag
23,124,-18,3,3,Bag
22,125,-18,3,3,Bag
23,125,-18,3,3,Bag
22,126,-18,3,3,Bag
23,126,-18,3,3,Bag
22,127,-18,3,3,Bag
23,127,-18,3,3,Bag
22,128,-18,3,3,Front Shirt Pocket
23,128,-18,3,3,Front Shirt Pocket
22,129,-18,3,3,Front Shirt Pocket
23,129,-18,3,3,Front Shirt Pocket
22,130,-18,3,3,Front Shirt Pocket
23,130,-18,3,3,Front Shirt Pocket
22,131,-18,3,3,Front Shirt Pocket
23,131,-18,3,3,Front Shirt Pocket
22,132,-18,3,3,Front Shirt Pocket
23,132,-18,3,3,Front Shirt Pocket
22,133,-18,3,3,Front Shirt Pocket
23,133,-18,3,3,Front Shirt Pocket
22,134,-18,3,3,Front Shirt Pocket
23,134,-18,3,3,Front Shirt Pocket
22,135,-18,3,3,Front Shirt Pocket
23,135,-18,3,3,Front Shirt Pocket
22,136,-18,3,3,Front Shirt Pocket
23,136,-18,3,3,Front Shirt Pocket
22,137,-18,3,3,Front Shirt Pocket
23,137,-18,3,3,Front Shirt Pocket
22,138,-18,3,3,Front Shirt Pocket
23,138,-18,3,3,Front Shirt Pocket
22,139,-18,3,3,Front Shirt Pocket
23,139,-18,3,3,Front Shirt Pocket
22,140,-18,3,3,Front Pants Pocket
23,140,-18,3,3,Front Pants Pocket
22,141,-18,3,3,Front Pants Pocket
23,141,-18,3,3,Front Pants Pocket
22,142,-18,3,3,Front Pants Pocket
23,142,-18,3,3,Front Pants Pocket
22,143,-18,3,3,Front Pants Pocket
23,143,-18,3,3,Front Pants Pocket
22,144,-18,3,3,Front Pants Pocket
23,144,-18,3,3,Front Pants Pocket
22,145,-18,3,3,Front Pants Pocket
23,145,-18,3,3,Front Pants Pocket
22,146,-18,3,3,Front Pants Pocket
23,146,-18,3,3,Front Pants Pocket
22,147,-18,3,3,Front Pants Pocket
23,147,-18,3,3,Front Pants Pocket
22,148,-18,3,3,Front Pants Pocket
23,148,-18,3,3,Front Pants Pocket
22,149,-18,3,3,Front Pants Pocket
23,149,-18,3,3,Front Pants Pocket
